Nested Sampling Global Log-Evidence           :   -0.158755602195082446E+02  +/-    0.120102745623053134E+00
Nested Importance Sampling Global Log-Evidence:   -0.161046301187835255E+02  +/-    0.134164027938427615E-01

Dim No.       Mean        Sigma
   1    0.105485256833074054E+00    0.134079233599026845E-01
   2    0.304468148928462812E+01    0.142750777348343016E-01
   3    0.226949121096867504E-01    0.217124832627052901E-02
   4    0.964872515294609490E+00    0.423218855687881694E-02
   5    0.721773492369333747E+00    0.519245222280513077E-01
   6    0.253387561923712812E+00    0.618746804747898060E-01
   7    0.758589466080730190E+00    0.536252271246070653E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.113299902678818648E+00
   2    0.304498575110061021E+01
   3    0.233205748698089438E-01
   4    0.964756971806801644E+00
   5    0.691525448077014548E+00
   6    0.285692911895607304E+00
   7    0.791039655891348836E+00

MAP Parameters
Dim No.        Parameter
   1    0.127223450013731476E+00
   2    0.303853010284801606E+01
   3    0.238848448690864613E-01
   4    0.971024340572728795E+00
   5    0.648320828627344858E+00
   6    0.359507832063541699E+00
   7    0.833593109510782027E+00
