Nested Sampling Global Log-Evidence           :   -0.635486611209380836E+01  +/-    0.612941353358916821E-01
Nested Importance Sampling Global Log-Evidence:   -0.709523837962940362E+01  +/-    0.728236377211303153E-02

Dim No.       Mean        Sigma
   1    0.190304628632219003E+00    0.539643984289437384E-01
   2    0.256524286431975090E+01    0.688473948049795670E+00
   3    0.225101072998159200E-01    0.213896177214555191E-02
   4    0.981111068811493792E+00    0.169831203410512582E+00
   5    0.739492190218705825E+00    0.407927892198141837E-01
   6    0.382513055818386016E+00    0.618143062812481076E-01
   7    0.898522532159730214E+00    0.385851807571562733E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.207831431613142548E+00
   2    0.230393922955029540E+01
   3    0.260012625846688973E-01
   4    0.871194584122840454E+00
   5    0.776369775639274229E+00
   6    0.387943066165628514E+00
   7    0.755140286282245277E+00

MAP Parameters
Dim No.        Parameter
   1    0.270938973310926756E+00
   2    0.257898769386910853E+01
   3    0.249423389156293654E-01
   4    0.735647272575709499E+00
   5    0.808127603953260887E+00
   6    0.453062015737993817E+00
   7    0.933237904921940475E+00
